id,protocol,source,destination,sport,dport,avg_size,packet_count,packetssent,packetsreceived,bytessent,bytesreceived,avg_ttl,syn_count,fin_count,ack_count,created_at
2991,6,192.168.101.13,34.139.124.58,51739,443,255.4,5,5,5,1277,1277,128,0,0,5,15:41.1
2992,6,192.168.101.13,34.139.124.58,61315,443,54,1,1,1,54,54,128,0,1,1,15:41.1
2993,6,192.168.101.13,52.168.112.66,51267,443,54,2,2,2,108,108,128,0,1,2,15:41.1
2994,6,192.168.101.13,74.125.130.188,53079,5228,54,1,1,1,54,54,128,0,0,1,15:41.1
2995,6,3.233.158.24,192.168.101.13,443,62337,60,1,1,1,60,60,53,0,0,1,15:41.1
2996,6,34.139.124.58,192.168.101.13,443,51739,229,5,5,5,1145,1145,54,0,0,5,15:41.1
2997,6,52.168.112.66,192.168.101.13,443,51267,54,1,1,1,54,54,101,0,1,1,15:41.1
2998,6,74.125.130.188,192.168.101.13,5228,53079,54,1,1,1,54,54,61,0,0,1,15:41.1
2999,6,192.168.101.13,34.104.35.123,49900,80,54,2,2,2,108,108,128,0,1,2,15:41.1
3000,6,192.168.101.13,34.139.124.58,51739,443,54,2,2,2,108,108,128,0,1,2,15:41.1
3001,6,192.168.101.13,34.139.124.58,61315,443,54,1,1,1,54,54,128,0,0,1,15:41.1
3002,6,34.104.35.123,192.168.101.13,80,49900,54,1,1,1,54,54,59,0,1,1,15:41.1
3003,6,34.139.124.58,192.168.101.13,443,51739,54,1,1,1,54,54,54,0,1,1,15:41.1
3004,6,34.139.124.58,192.168.101.13,443,61315,54,1,1,1,54,54,55,0,1,1,15:41.1
3005,6,192.168.101.13,34.139.124.58,60807,443,360.3333333,6,6,6,2162,2162,128,1,1,5,15:41.1
3006,6,192.168.101.13,34.139.124.58,63803,443,464.5555556,18,18,18,8362,8362,128,1,0,17,15:41.1
3007,6,192.168.101.13,34.139.124.58,64291,443,357.8333333,6,6,6,2147,2147,128,1,0,5,15:41.1
3008,6,192.168.101.13,4.213.25.240,62884,443,54,1,1,1,54,54,128,0,0,1,15:41.1
3009,6,34.139.124.58,192.168.101.13,443,60807,661.5714286,7,7,7,4631,4631,54,1,1,7,15:41.1
3010,6,34.139.124.58,192.168.101.13,443,63803,456.6923077,13,13,13,5937,5937,55,1,0,13,15:41.1
3011,6,34.139.124.58,192.168.101.13,443,64291,762.8333333,6,6,6,4577,4577,54,1,0,6,15:41.1
3012,6,4.213.25.240,192.168.101.13,443,62884,54,1,1,1,54,54,61,0,0,1,15:41.1
3013,6,172.188.155.25,192.168.101.13,443,63943,66,1,1,1,66,66,47,0,0,1,15:41.1
3014,6,172.64.148.235,192.168.101.13,443,63413,69,2,2,2,138,138,59,0,0,2,15:41.1
3015,6,192.168.101.13,172.188.155.25,63943,443,55,1,1,1,55,55,128,0,0,1,15:41.1
3016,6,192.168.101.13,172.64.148.235,63413,443,82,1,1,1,82,82,128,0,0,1,15:41.1
3017,6,192.168.101.13,34.139.124.58,63803,443,101,2,2,2,202,202,128,0,0,2,15:41.1
3018,6,192.168.101.13,34.139.124.58,64291,443,54,1,1,1,54,54,128,0,0,1,15:41.1
3019,6,192.168.101.13,43.250.49.233,64292,443,192.9615385,26,26,26,5017,5017,128,1,0,25,15:41.1
3020,6,192.168.101.13,74.125.130.188,53079,5228,55,1,1,1,55,55,128,0,0,1,15:41.1
3021,6,34.139.124.58,192.168.101.13,443,63803,249.2,5,5,5,1246,1246,55,0,0,5,15:41.1
3022,6,34.139.124.58,192.168.101.13,443,64291,127.3333333,3,3,3,382,382,54,0,0,3,15:41.1
3023,6,43.250.49.233,192.168.101.13,443,64292,1287.1625,80,80,80,102973,102973,60,1,0,80,15:41.1
3024,6,74.125.130.188,192.168.101.13,5228,53079,66,1,1,1,66,66,119,0,0,1,15:41.1
3025,6,192.168.101.13,34.139.124.58,63803,443,201.6923077,13,13,13,2622,2622,128,0,2,13,15:41.1
3026,6,192.168.101.13,34.139.124.58,64291,443,54,4,4,4,216,216,128,0,2,4,15:41.1
3027,6,34.139.124.58,192.168.101.13,443,63803,200,12,12,12,2400,2400,55,0,2,12,15:41.1
3028,6,34.139.124.58,192.168.101.13,443,64291,54,2,2,2,108,108,54,0,2,2,15:41.1
3029,6,172.188.155.25,192.168.101.13,443,63943,83.5,4,4,4,334,334,47,0,0,4,15:41.1
3030,6,192.168.101.13,172.188.155.25,63943,443,120,2,2,2,240,240,128,0,0,2,15:41.1
3031,6,192.168.101.13,34.139.124.58,63539,443,66,1,1,1,66,66,128,1,0,0,15:41.1
3032,6,172.64.148.235,192.168.101.13,443,63413,69,4,4,4,276,276,59,0,0,4,15:41.1
3033,6,192.168.101.13,172.64.148.235,63413,443,82,2,2,2,164,164,128,0,0,2,15:41.1
3034,6,192.168.101.13,34.139.124.58,56002,443,245.9,20,20,20,4918,4918,128,2,2,18,15:41.1
3035,6,192.168.101.13,34.139.124.58,57117,443,360.3333333,12,12,12,4324,4324,128,2,2,10,15:41.1
3036,6,192.168.101.13,34.139.124.58,60365,443,529.5,12,12,12,6354,6354,128,3,0,9,15:41.1
3037,6,192.168.101.13,34.139.124.58,63539,443,400.1860465,43,43,43,17208,17208,128,1,2,42,15:41.1
3038,6,192.168.101.13,34.139.124.58,65077,443,422.8888889,27,27,27,11418,11418,128,3,0,24,15:41.1
3039,6,34.139.124.58,192.168.101.13,443,56002,501.3,20,20,20,10026,10026,55,2,2,20,15:41.1
3040,6,34.139.124.58,192.168.101.13,443,57117,585.625,16,16,16,9370,9370,55,2,2,16,15:41.1
3041,6,34.139.124.58,192.168.101.13,443,60365,63,4,4,4,252,252,54,3,0,4,15:41.1
3042,6,34.139.124.58,192.168.101.13,443,63539,351.0952381,42,42,42,14746,14746,54,2,2,42,15:41.1
3043,6,34.139.124.58,192.168.101.13,443,65077,661.5714286,21,21,21,13893,13893,55,3,0,21,15:41.1
3044,6,192.168.101.13,34.139.124.58,60365,443,74,12,12,12,888,888,128,0,0,12,15:41.1
3045,6,192.168.101.13,34.139.124.58,65077,443,61.75,12,12,12,741,741,128,0,0,12,15:41.1
3046,6,192.168.101.13,4.213.25.240,62884,443,54.5,6,6,6,327,327,128,0,0,6,15:41.1
3047,6,34.139.124.58,192.168.101.13,443,60365,635.8695652,23,23,23,14625,14625,54,0,0,23,15:41.1
3048,6,34.139.124.58,192.168.101.13,443,65077,159,21,21,21,3339,3339,55,0,0,21,15:41.1
3049,6,4.213.25.240,192.168.101.13,443,62884,60,6,6,6,360,360,86,0,0,6,15:41.1
